infl_id,infl_pos,infl_person,infl_plurality,infl_tense,infl_type,infl_variant,infl_stem_id,infl_voice,infl_mood,ending,concat-grammar-info
487,V,1,S,PRES,1,1,1,ACTIVE,IND,o,1-S-PRES
488,V,2,S,PRES,1,1,2,ACTIVE,IND,as,2-S-PRES
489,V,3,S,PRES,1,1,2,ACTIVE,IND,at,3-S-PRES
490,V,1,P,PRES,1,1,2,ACTIVE,IND,amus,1-P-PRES
491,V,2,P,PRES,1,1,2,ACTIVE,IND,atis,2-P-PRES
492,V,3,P,PRES,1,1,1,ACTIVE,IND,ant,3-P-PRES
493,V,1,S,IMPF,1,1,1,ACTIVE,IND,abam,1-S-IMPF
494,V,2,S,IMPF,1,1,1,ACTIVE,IND,abas,2-S-IMPF
495,V,3,S,IMPF,1,1,1,ACTIVE,IND,abat,3-S-IMPF
496,V,1,P,IMPF,1,1,1,ACTIVE,IND,abamus,1-P-IMPF
497,V,2,P,IMPF,1,1,1,ACTIVE,IND,abatis,2-P-IMPF
498,V,3,P,IMPF,1,1,1,ACTIVE,IND,abant,3-P-IMPF
499,V,1,S,FUT,1,1,1,ACTIVE,IND,abo,1-S-FUT
500,V,2,S,FUT,1,1,1,ACTIVE,IND,abis,2-S-FUT
501,V,3,S,FUT,1,1,1,ACTIVE,IND,abit,3-S-FUT
502,V,1,P,FUT,1,1,1,ACTIVE,IND,abimus,1-P-FUT
503,V,2,P,FUT,1,1,1,ACTIVE,IND,abitis,2-P-FUT
504,V,3,P,FUT,1,1,1,ACTIVE,IND,abunt,3-P-FUT
524,V,1,S,PRES,1,1,1,PASSIVE,IND,or,1-S-PRES
525,V,2,S,PRES,1,1,2,PASSIVE,IND,aris,2-S-PRES
526,V,2,S,PRES,1,1,2,PASSIVE,IND,are,2-S-PRES
527,V,3,S,PRES,1,1,2,PASSIVE,IND,atur,3-S-PRES
528,V,1,P,PRES,1,1,2,PASSIVE,IND,amur,1-P-PRES
529,V,2,P,PRES,1,1,2,PASSIVE,IND,amini,2-P-PRES
530,V,3,P,PRES,1,1,1,PASSIVE,IND,antur,3-P-PRES
531,V,1,S,IMPF,1,1,1,PASSIVE,IND,abar,1-S-IMPF
532,V,2,S,IMPF,1,1,1,PASSIVE,IND,abaris,2-S-IMPF
533,V,2,S,IMPF,1,1,1,PASSIVE,IND,abare,2-S-IMPF
534,V,3,S,IMPF,1,1,1,PASSIVE,IND,abatur,3-S-IMPF
535,V,1,P,IMPF,1,1,1,PASSIVE,IND,abamur,1-P-IMPF
536,V,2,P,IMPF,1,1,1,PASSIVE,IND,abamini,2-P-IMPF
537,V,3,P,IMPF,1,1,1,PASSIVE,IND,abantur,3-P-IMPF
538,V,1,S,FUT,1,1,1,PASSIVE,IND,abor,1-S-FUT
539,V,2,S,FUT,1,1,1,PASSIVE,IND,aberis,2-S-FUT
540,V,2,S,FUT,1,1,1,PASSIVE,IND,abere,2-S-FUT
541,V,3,S,FUT,1,1,1,PASSIVE,IND,abitur,3-S-FUT
542,V,1,P,FUT,1,1,1,PASSIVE,IND,abimur,1-P-FUT
543,V,2,P,FUT,1,1,1,PASSIVE,IND,abimini,2-P-FUT
544,V,3,P,FUT,1,1,1,PASSIVE,IND,abuntur,3-P-FUT
83,V,2,S,PRES,1,1,2,ACTIVE,IMP,a,2-S-PRES
584,V,2,P,PRES,1,1,2,ACTIVE,IMP,ate,2-P-PRES
585,V,2,S,FUT,1,1,2,ACTIVE,IMP,ato,2-S-FUT
